# source=aligned; asm/IRVAsm via Clear-Bible/Alignments manual word alignment
surface	strong	count	share
অ	G0740	1	0.500
অ	G3137	1	0.500
অংশ	G4983	4	0.333
অংশ	G2590	2	0.167
অংশ	G5092	1	0.083
অংশ	G3844	1	0.083
অংশ	G3557	1	0.083
অংশ	G2076	1	0.083
অংশ	G1537	1	0.083
অংশ	G4633	1	0.083
অংশই	G0302	1	1.000
অংশও	G2255	1	1.000
অংশক	G4413	1	0.500
অংশক	G0039	1	0.500
অংশটো	G2043	2	0.500
অংশটো	G5117	1	0.250
অংশটো	G4042	1	0.250
অংশত	G3840	1	1.000
অংশীদাৰ	G4790	2	0.333
অংশীদাৰ	G3588	1	0.167
অংশীদাৰ	G3310	1	0.167
অংশীদাৰ	G2841	1	0.167
অংশীদাৰ	G2041	1	0.167
অংশৰ	G2583	1	1.000
অকণ	G3762	1	1.000
অকপট	G0505	3	1.000
অকপটতাৰে	G1505	2	1.000
অকর্মন্য	G0692	1	1.000
অকল	G3441	18	0.720
অকল	G4314	1	0.040
অকল	G3588	1	0.040
অকল	G0235	1	0.040
অকল	G3756	1	0.040
অকল	G3076	1	0.040
অকল	G2424	1	0.040
অকল	G0444	1	0.040
অকলশৰীয়া	G3441	2	0.500
অকলশৰীয়া	G3689	1	0.250
অকলশৰীয়া	G3443	1	0.250
অকলশৰীয়াকৈ	G3441	2	1.000
অকলশৰে	G3441	2	1.000
অকলে	G3441	5	0.417
অকলে	G2398	2	0.167
অকলে	G0863	2	0.167
অকলে	G0305	1	0.083
অকলে	G0846	1	0.083
অকলে	G1763	1	0.083
অকল্পিত	G0505	1	1.000
অকস্মাতে	G1810	4	0.500
অকস্মাতে	G0869	2	0.250
অকস্মাতে	G1819	1	0.125
অকস্মাতে	G0160	1	0.125
অকস্মাৎ	G3916	1	1.000
অকামিলা	G0096	1	1.000
অকাৰণে	G0599	1	1.000
অকৃতজ্ঞ	G0884	2	1.000
অক্ষয়	G0413	1	1.000
অক্ষয়তা	G0861	1	1.000
অক্ষয়তাক	G0861	2	1.000
অক্ষয়তাৰ	G0861	1	1.000
অকৰ্মন্য	G0889	1	1.000
অকৰ্মন্যই	G0692	1	1.000
অখণ্ডনীয়	G0368	1	1.000
অগম্য	G5457	1	1.000
অগাধ	G0012	9	0.818
অগাধ	G4183	1	0.091
অগাধ	G3588	1	0.091
অগোচৰ	G0852	1	1.000
অগ্নি	G4442	1	1.000
অগ্নিকুণ্ডৰ	G2575	1	1.000
অগ্নিত	G4442	1	1.000
অগ্নিময়	G4442	2	0.667
অগ্নিময়	G4451	1	0.333
অগ্নিয়ে	G3588	1	1.000
অগ্নিশালত	G2575	1	1.000
অগ্নিশিখা	G5395	1	1.000
অগ্নিশিখাৰ	G5395	1	1.000
অগ্নিস্তম্ভৰ	G4769	1	1.000
অগ্নিস্বৰূপ	G4442	1	1.000
অগ্নিৰ	G4442	3	1.000
অগ্নিৰূপ	G4442	1	1.000
অগ্নিৰে	G4442	2	0.667
অগ্নিৰে	G5394	1	0.333
অগ্রগামী	G4274	1	1.000
অগ্রসৰ	G1607	1	1.000
অগ্রাহ্য	G2588	1	1.000
অগ্ৰগণ্য	G4409	1	1.000
অগ্ৰগামী	G5100	1	1.000
অগ্ৰণী৷	G4414	1	1.000
অগ্ৰাধিকাৰ	G1325	1	1.000
অগ্ৰাহ্য	G0593	8	0.348
অগ্ৰাহ্য	G0114	8	0.348
অগ্ৰাহ্য	G3868	3	0.130
অগ্ৰাহ্য	G0096	1	0.043
অগ্ৰাহ্য	G4657	1	0.043
অগ্ৰাহ্য	G0579	1	0.043
অগ্ৰাহ্য	G3756	1	0.043
অঙ্গ	G3196	5	0.714
অঙ্গ	G4983	1	0.143
অঙ্গ	G4055	1	0.143
অঙ্গ-প্রত্যঙ্গ	G1538	1	1.000
অঙ্গ-প্ৰত্যঙ্গ	G3196	7	0.875
অঙ্গ-প্ৰত্যঙ্গ	G2192	1	0.125
অঙ্গ-প্ৰত্যঙ্গই	G3196	2	1.000
অঙ্গ-প্ৰত্যঙ্গও	G3196	1	1.000
অঙ্গ-প্ৰত্যঙ্গত	G3196	1	1.000
অঙ্গ-প্ৰত্যঙ্গবোৰ	G3196	2	1.000
অঙ্গ-প্ৰত্যঙ্গবোৰক	G3196	3	0.750
অঙ্গ-প্ৰত্যঙ্গবোৰক	G3936	1	0.250
অঙ্গ-প্ৰত্যঙ্গবোৰত	G3196	2	1.000
অঙ্গ-প্ৰত্যঙ্গবোৰে	G3196	1	0.500
অঙ্গ-প্ৰত্যঙ্গবোৰে	G0240	1	0.500
অঙ্গ-প্ৰত্যঙ্গবোৰৰ	G3588	1	1.000
অঙ্গ-প্ৰত্যঙ্গৰ	G3196	1	1.000
অঙ্গই	G3196	2	1.000
অঙ্গতকৈ	G3196	1	1.000
অঙ্গবোৰ	G1538	1	1.000
অঙ্গবোৰেও	G3588	1	1.000
অঙ্গবোৰৰ	G1325	1	1.000
অচিনাকি	G0245	2	0.667
অচিনাকি	G3581	1	0.333
অচুন্নতত	G0203	1	1.000
অচুন্নতো	G0203	1	1.000
অচুন্নতৰ	G0203	1	1.000
অচুন্নৎ	G0203	7	1.000
অচেতন	G1590	1	1.000
অজুহাত	G2147	1	1.000
অজ্ঞ	G0261	1	1.000
অজ্ঞতা	G0050	1	1.000
অজ্ঞান	G0878	2	0.667
অজ্ঞান	G0052	1	0.333
অজ্ঞানক	G0878	1	1.000
অজ্ঞানতাক	G0056	1	1.000
অজ্ঞানতাৰ	G3303	1	1.000
অজ্ঞানতাৰে	G0877	1	1.000
অজ্ঞানবোৰক	G0878	1	1.000
অজ্ঞানী	G0453	1	0.333
