# source=aligned; hau/OHCB via Clear-Bible/Alignments manual word alignment
surface	strong	count	share
1,260	G5507	1	1.000
1,400	G1427	1	1.000
12,000	G5505	3	0.600
12,000	G1427	2	0.400
144	G5064	1	1.000
144,000	G5064	2	0.667
144,000	G5505	1	0.333
153	G5140	1	1.000
2,200	G5505	1	1.000
276	G1250	1	1.000
300	G5507	1	1.000
42	G5062	1	1.000
430	G5071	1	1.000
450	G5071	1	1.000
666	G1812	1	1.000
a	G2071	18	0.175
a	G1096	14	0.136
a	G2076	9	0.087
a	G2036	6	0.058
a	G2258	6	0.058
a	G2192	4	0.039
a	G0863	2	0.019
a	G1510	2	0.019
a	G2064	2	0.019
a	G1325	2	0.019
a	G5607	2	0.019
a	G2309	2	0.019
a	G2147	2	0.019
a	G0906	1	0.010
a	G1522	1	0.010
a	G3354	1	0.010
a	G4674	1	0.010
a	G4160	1	0.010
a	G3004	1	0.010
a	G3762	1	0.010
a	G3860	1	0.010
a	G0063	1	0.010
a	G4137	1	0.010
a	G1097	1	0.010
a	G2398	1	0.010
a	G2849	1	0.010
a	G3865	1	0.010
a	G3195	1	0.010
a	G4843	1	0.010
a	G0142	1	0.010
a	G1511	1	0.010
a	G5318	1	0.010
a	G2075	1	0.010
a	G3319	1	0.010
a	G0987	1	0.010
a	G1764	1	0.010
a	G4374	1	0.010
a	G2983	1	0.010
a	G5600	1	0.010
a	G1632	1	0.010
a	G4694	1	0.010
a	G4910	1	0.010
a	G0615	1	0.010
a	G0191	1	0.010
a	G3089	1	0.010
aba	G4852	1	1.000
abada	G0165	43	0.896
abada	G0166	2	0.042
abada	G1336	2	0.042
abada	G3956	1	0.021
abaddon	G0003	1	1.000
abadin	G0165	22	1.000
abar	G2144	1	0.500
abar	G1184	1	0.500
abba	G0005	3	1.000
abiline	G5376	1	1.000
abin	G3956	21	0.280
abin	G3762	7	0.093
abin	G2192	5	0.067
abin	G2041	4	0.053
abin	G4487	3	0.040
abin	G1350	2	0.027
abin	G1096	2	0.027
abin	G5224	2	0.027
abin	G1520	2	0.027
abin	G5485	2	0.027
abin	G4357	1	0.013
abin	G4592	1	0.013
abin	G1325	1	0.013
abin	G0537	1	0.013
abin	G0906	1	0.013
abin	G2076	1	0.013
abin	G0225	1	0.013
abin	G1492	1	0.013
abin	G2480	1	0.013
abin	G4234	1	0.013
abin	G2258	1	0.013
abin	G3596	1	0.013
abin	G3056	1	0.013
abin	G1921	1	0.013
abin	G2902	1	0.013
abin	G5456	1	0.013
abin	G4349	1	0.013
abin	G0273	1	0.013
abin	G2087	1	0.013
abin	G3391	1	0.013
abin	G3680	1	0.013
abin	G3598	1	0.013
abin	G0979	1	0.013
abin	G2038	1	0.013
abin	G0037	1	0.013
abina	G1699	1	1.000
abinci	G5160	12	0.235
abinci	G1033	11	0.216
abinci	G0740	7	0.137
abinci	G0345	4	0.078
abinci	G2068	3	0.059
abinci	G0712	2	0.039
abinci	G5315	2	0.039
abinci	G1035	2	0.039
abinci	G5132	2	0.039
abinci	G2621	1	0.020
abinci	G5527	1	0.020
abinci	G3903	1	0.020
abinci	G0776	1	0.020
abinci	G3521	1	0.020
abinci	G1305	1	0.020
abincin	G1173	4	0.250
abincin	G0740	3	0.188
abincin	G1033	3	0.188
abincin	G1035	2	0.125
abincin	G1172	1	0.062
abincin	G5132	1	0.062
abincin	G5160	1	0.062
abincin	G1494	1	0.062
abincina	G1699	1	1.000
abincinsa	G5160	1	0.333
abincinsa	G2068	1	0.333
abincinsa	G5176	1	0.333
abincinsu	G4620	1	0.250
abincinsu	G5142	1	0.250
abincinsu	G2339	1	0.250
abincinsu	G2038	1	0.250
abinka	G2192	1	1.000
abinsa	G0565	3	0.750
abinsa	G0492	1	0.250
abinta	G2398	1	1.000
abis	G0012	8	0.889
abis	G5421	1	0.111
abiya	G0007	3	1.000
abiyatar	G0008	1	1.000
abiyud	G0010	2	1.000
abokai	G5384	4	0.800
abokai	G3813	1	0.200
abokaina	G0027	16	0.800
abokaina	G5384	3	0.150
abokaina	G2839	1	0.050
abokan	G2190	12	0.500
abokan	G5207	2	0.083
abokan	G5384	2	0.083
abokan	G4904	2	0.083
abokan	G2844	1	0.042
abokan	G4789	1	0.042
abokan	G4903	1	0.042
abokan	G3353	1	0.042
abokan	G5227	1	0.042
abokan	G0500	1	0.042
abokanka	G5384	1	1.000
abokanku	G5384	1	1.000
abokanmu	G0565	1	1.000
abokansa	G5384	4	0.571
abokansa	G2614	1	0.143
abokansa	G4023	1	0.143
abokansa	G3367	1	0.143
abokansu	G1110	1	0.333
abokansu	G3353	1	0.333
abokansu	G0080	1	0.333
abokantaka	G5373	1	1.000
aboki	G2083	3	0.600
aboki	G5384	2	0.400
abokin	G5384	6	0.333
abokin	G2190	4	0.222
abokin	G4889	3	0.167
abokin	G0444	1	0.056
abokin	G4961	1	0.056
abokin	G4904	1	0.056
abokin	G3059	1	0.056
abokin	G4791	1	0.056
abokina	G0027	2	0.667
abokina	G5384	1	0.333
abokinmu	G5384	1	1.000
abokinsa	G5384	1	1.000
abu	G3956	17	0.405
abu	G3762	6	0.143
abu	G1520	4	0.095
abu	G2192	2	0.048
abu	G3367	2	0.048
abu	G4229	1	0.024
abu	G2041	1	0.024
abu	G3056	1	0.024
abu	G2038	1	0.024
abu	G5302	1	0.024
abu	G4632	1	0.024
abu	G0018	1	0.024
abu	G1380	1	0.024
abu	G1511	1	0.024
abu	G0665	1	0.024
abu	G1394	1	0.024
abubuwa	G3956	23	0.489
abubuwa	G4487	5	0.106
abubuwa	G3641	3	0.064
abubuwa	G4747	2	0.043
abubuwa	G4183	2	0.043
abubuwa	G3056	1	0.021
abubuwa	G3062	1	0.021
abubuwa	G3762	1	0.021
abubuwa	G3004	1	0.021
abubuwa	G0018	1	0.021
abubuwa	G2071	1	0.021
abubuwa	G1511	1	0.021
abubuwa	G1764	1	0.021
abubuwa	G3195	1	0.021
abubuwa	G1096	1	0.021
abubuwa	G1945	1	0.021
abubuwa	G1425	1	0.021
abubuwan	G3956	3	0.130
abubuwan	G1411	2	0.087
abubuwan	G4229	2	0.087
abubuwan	G2041	2	0.087
abubuwan	G2928	1	0.043
abubuwan	G3056	1	0.043
abubuwan	G0418	1	0.043
abubuwan	G3167	1	0.043
abubuwan	G5059	1	0.043
abubuwan	G2007	1	0.043
abubuwan	G0895	1	0.043
abubuwan	G4043	1	0.043
abubuwan	G4592	1	0.043
abubuwan	G1696	1	0.043
abubuwan	G0018	1	0.043
abubuwan	G0150	1	0.043
abubuwan	G0391	1	0.043
abubuwan	G4747	1	0.043
adadin	G5550	1	1.000
adadinsu	G0706	1	1.000
adalci	G1342	58	0.443
adalci	G1343	56	0.427
adalci	G1344	4	0.031
adalci	G0094	3	0.023
adalci	G2920	3	0.023
adalci	G1557	2	0.015
adalci	G1345	2	0.015
adalci	G1556	1	0.008
adalci	G1349	1	0.008
adalci	G2118	1	0.008
adalcin	G1343	17	0.850
adalcin	G1342	3	0.150
adalcina	G1342	1	1.000
adalcinka	G1345	1	1.000
adalcinku	G4052	1	1.000
adalcinmu	G0093	1	0.500
adalcinmu	G1343	1	0.500
adalcinsa	G1343	3	1.000
adalcinsu	G1342	1	1.000
adali	G1344	1	1.000
adalin	G1342	1	1.000
adam	G0444	4	0.667
adam	G3956	1	0.167
adam	G4561	1	0.167
adamu	G0076	10	1.000
adana	G2147	1	1.000
addi	G0078	1	1.000
addini	G1174	1	0.250
addini	G3313	1	0.250
addini	G2150	1	0.250
addini	G2357	1	0.250
addinin	G2356	1	1.000
addininmu	G2356	1	1.000
addininsa	G2356	1	1.000
addininsu	G1175	1	0.500
addininsu	G2398	1	0.500
addu’a	G4336	81	0.659
addu’a	G4335	21	0.171
addu’a	G1189	4	0.033
addu’a	G1210	4	0.033
addu’a	G2172	4	0.033
addu’a	G1162	3	0.024
addu’a	G2065	2	0.016
addu’a	G2036	1	0.008
addu’a	G1941	1	0.008
addu’a	G4492	1	0.008
addu’a	G1783	1	0.008
addu’an	G0154	1	1.000
addu’ar	G4336	1	0.333
addu’ar	G2171	1	0.333
addu’ar	G1162	1	0.333
addu’arka	G1162	1	0.500
addu’arka	G4335	1	0.500
addu’armu	G2172	1	1.000
addu’arsu	G1162	2	1.000
addu’ata	G2065	2	0.500
addu’ata	G1162	1	0.250
addu’ata	G4336	1	0.250
addu’o’i	G1162	2	0.500
addu’o’i	G3117	1	0.250
addu’o’i	G4335	1	0.250
addu’o’in	G4335	3	1.000
addu’o’ina	G4335	3	0.600
addu’o’ina	G1162	2	0.400
addu’o’inka	G4335	1	1.000
addu’o’inku	G4335	2	0.667
addu’o’inku	G1162	1	0.333
addu’o’inmu	G4335	1	1.000
adikan	G4612	1	1.000
adiriyatik	G0099	1	1.000
ado	G2885	4	1.000
adon	G2885	2	0.500
adon	G4016	1	0.250
adon	G2359	1	0.250
af	G4105	1	1.000
afaforiditus	G1891	2	1.000
afelles	G0559	1	1.000
affiya	G0682	1	1.000
affiyus	G0675	1	1.000
afikuriya	G4770	1	1.000
afisa	G2181	16	0.842
afisa	G2180	3	0.158
afisawa	G2180	2	1.000
afolliyon	G0623	1	1.000
afolloniya	G0624	1	1.000
afollos	G0625	10	1.000
agabus	G0013	2	1.000
agat	G5472	1	1.000
agiriffa	G0067	11	1.000
aha	G1205	1	1.000
ahab	G0191	2	1.000
ahaz	G0881	2	1.000
aholaki	G3688	2	1.000
ai	G2076	3	0.500
ai	G1410	1	0.167
ai	G5217	1	0.167
ai	G1163	1	0.167
aibi	G0299	6	0.429
aibi	G0410	3	0.214
aibi	G0677	1	0.071
aibi	G5083	1	0.071
aibi	G0784	1	0.071
aibi	G0172	1	0.071
aibi	G0283	1	0.071
aika	G0649	28	0.528
aika	G3992	16	0.302
aika	G3343	5	0.094
aika	G0375	2	0.038
aika	G2036	1	0.019
aika	G1821	1	0.019
aikakke	G0649	1	1.000
aikan	G0649	5	0.625
aikan	G4369	2	0.250
aikan	G2400	1	0.125
aikansa	G3992	1	1.000
aikar	G0649	1	1.000
aikata	G4160	52	0.525
aikata	G2041	8	0.081
aikata	G4238	7	0.071
aikata	G2038	6	0.061
aikata	G1096	5	0.051
aikata	G2716	5	0.051
aikata	G1325	2	0.020
aikata	G0015	2	0.020
aikata	G2040	2	0.020
aikata	G1754	2	0.020
aikata	G1777	1	0.010
aikata	G5055	1	0.010
aikata	G0265	1	0.010
aikata	G4903	1	0.010
aikata	G0436	1	0.010
aikata	G1377	1	0.010
aikata	G0874	1	0.010
aikata	G0017	1	0.010
aikatawa	G2041	2	0.667
aikatawa	G0627	1	0.333
aike	G0649	16	0.533
aike	G3992	11	0.367
aike	G3351	1	0.033
aike	G1821	1	0.033
aike	G0375	1	0.033
aiken	G0649	2	1.000
aikena	G0032	1	1.000
aiki	G0649	26	0.255
aiki	G2038	11	0.108
aiki	G1754	11	0.108
aiki	G2872	9	0.088
aiki	G3992	9	0.088
aiki	G2041	8	0.078
aiki	G1821	3	0.029
aiki	G1753	3	0.029
aiki	G4903	2	0.020
aiki	G3622	2	0.020
aiki	G0458	2	0.020
aiki	G1756	2	0.020
aiki	G4904	2	0.020
aiki	G1247	1	0.010
aiki	G2853	1	0.010
aiki	G1398	1	0.010
aiki	G5532	1	0.010
aiki	G1296	1	0.010
aiki	G4234	1	0.010
aiki	G4882	1	0.010
aiki	G4160	1	0.010
aiki	G4889	1	0.010
aiki	G4192	1	0.010
aiki	G2873	1	0.010
aiki	G2590	1	0.010
aikin	G2041	26	0.578
aikin	G1248	5	0.111
aikin	G2038	3	0.067
aikin	G4160	2	0.044
aikin	G2975	1	0.022
aikin	G4631	1	0.022
aikin	G4903	1	0.022
aikin	G2873	1	0.022
aikin	G3622	1	0.022
aikin	G1247	1	0.022
aikin	G4754	1	0.022
aikin	G0512	1	0.022
aikin	G2590	1	0.022
aikina	G4904	7	0.700
aikina	G4632	1	0.100
aikina	G5256	1	0.100
aikina	G4176	1	0.100
aikinka	G0591	1	0.500
aikinka	G3621	1	0.500
aikinku	G2041	2	0.667
aikinku	G2133	1	0.333
aikinmu	G4904	2	0.500
aikinmu	G3784	1	0.250
aikinmu	G2583	1	0.250
aikinsa	G2041	5	0.500
aikinsa	G1248	2	0.200
aikinsa	G1408	1	0.100
aikinsa	G2398	1	0.100
aikinsa	G4161	1	0.100
aikinsu	G2590	2	0.333
aikinsu	G2041	2	0.333
aikinsu	G2873	1	0.167
aikinsu	G2872	1	0.167
aikinta	G0838	1	0.500
aikinta	G3648	1	0.500
aiko	G0649	34	0.466
aiko	G3992	34	0.466
aiko	G1821	2	0.027
aiko	G4842	2	0.027
aiko	G3936	1	0.014
ainihi	G2588	2	0.400
ainihi	G3618	1	0.200
ainihi	G5449	1	0.200
ainihi	G3056	1	0.200
ainihin	G1658	4	0.400
ainihin	G0804	2	0.200
ainihin	G2147	1	0.100
ainihin	G3667	1	0.100
ainihin	G5287	1	0.100
ainihin	G3051	1	0.100
ainihinsu	G4983	1	1.000
ainon	G0137	1	1.000
ainun	G2669	1	1.000
aiwatar	G0935	1	1.000
ajiya	G0906	2	0.333
ajiya	G4863	1	0.167
ajiya	G2344	1	0.167
ajiya	G5009	1	0.167
ajiya	G5132	1	0.167
ajiyan	G3866	1	1.000
ajiyar	G2344	2	0.400
ajiyar	G2343	1	0.200
ajiyar	G3657	1	0.200
ajiyar	G0114	1	0.200
ajiyarsa	G2344	1	1.000
ajiyarsu	G2749	1	1.000
ajiyayye	G5083	1	1.000
ajiye	G5087	15	0.517
ajiye	G5083	3	0.103
ajiye	G0606	2	0.069
ajiye	G0114	1	0.034
ajiye	G4863	1	0.034
ajiye	G0906	1	0.034
ajiye	G3557	1	0.034
ajiye	G1620	1	0.034
ajiye	G0659	1	0.034
ajiye	G0595	1	0.034
ajiye	G2343	1	0.034
ajiye	G3087	1	0.034
aka	G1096	18	0.321
aka	G2258	8	0.143
aka	G1325	4	0.071
aka	G1299	3	0.054
aka	G2192	2	0.036
aka	G2075	2	0.036
aka	G1125	2	0.036
aka	G0976	1	0.018
aka	G1380	1	0.018
aka	G2980	1	0.018
aka	G2352	1	0.018
aka	G4741	1	0.018
aka	G0321	1	0.018
aka	G2071	1	0.018
aka	G4238	1	0.018
aka	G2014	1	0.018
aka	G3004	1	0.018
aka	G2749	1	0.018
aka	G5607	1	0.018
aka	G4295	1	0.018
aka	G1941	1	0.018
aka	G4160	1	0.018
aka	G2936	1	0.018
aka	G4969	1	0.018
akaikus	G0883	1	1.000
akan	G1344	1	0.333
akan	G0906	1	0.333
akan	G2983	1	0.333
akayya	G0882	10	1.000
ake	G3004	4	0.235
ake	G2076	4	0.235
